id	question	answer	difficulty	opinion	factuality
0	Who invented the light bulb?	Thomas Edison	Medium	2	0
0	Who is the only woman to have ever received two Nobel prizes?	Marie Curie	Hard	2	0
0	What's the most expensive material on Earth?	dont know	Hard	2	0
0	What's the name of the final of the NFL (National Football League)?	Super bowl	Easy	2	0
0	What's the second country with more Olympic medals won?	Germany	Hard	1	1
0	How many modern Olympic Summer Games have there been?	28	Hard	1	0
0	Who lives in a pineapple under the sea?	Spongebob Squarepants	Easy	3	0
0	What's the name of the reindeer in Frozen?	Sven	Medium	3	0
0	What is the top color in a rainbow? 	red	Hard	3	0
0	For which song did Toy Story get nominated to the Oscar?	We belong together	Hard	3	0
0	At what age did Jimmy Hendrix, Janis Joplin and Kurt Cobain die?	27	Easy	3	0
0	How many nominations to the Oscar has John Williams received?	51	Hard	3	0
0	What's the name of the most famous Italian plumber brothers?	Mario and Luigi	Easy	3	0
0	Who is the protagonist of the video game series Halo?	Master Chief	Hard	1	0
0	In what year was Space Invaders released?	1978	Hard	3	0
0	What is Linux's creator's full name?	Linus Torvalds	Medium	3	0
0	Which country in the world has maximum number of robots working?	Korea	Hard	1	0
0	 A type glass that is highly resistant to heat?	Heat resistant glass	Hard	1	1
0	Who won the superligaen in 2017/2018	FCK	Hard	1	0
0	Who is number 1 in golf right now	Justin Rose	Hard	1	0
0	Who scored the most goals in superligaen in fall 2018	Robert Skov	Hard	1	0
0	Who invented the telephone?	Alexander Bell	Medium	3	0
0	Tired people need what? 	Sleep	Easy	3	1
0	Where did the Olympic Games originate?	Greece	Easy	3	0
0	What was the Beatles biggest selling single?	She Loves you	Medium	3	0
0	What was George Michael's first solo hit called?  	Careless Whisper	Medium	3	0
0	In which decade was Dolly Parton born?	1940's	Hard	3	0
0	Which game was the first to release on the Nintendo 64	Super Mario	Medium	3	0
0	Which console has sold the most	Playstation 2	Medium	3	0
0	What is the top rated game on metacritic	The Legend of Zelda: Ocarina of Time	Hard	2	0
0	How many bits is a byte?	8	Easy	3	0
0	In terms of computing, what does GPU stand for?	Graphics Processing Unit	Medium	3	0
0	What year was the first x86 microprocessor introduced?	1980's	Hard	3	0
0	What country hosted the Summer Olympic Games in 2016?	Brazil	Medium	3	0
0	In darts, what is the highest score possible with three darts?	180	Hard	3	0
0	What is the highest possible break in snooker?	147	Hard	3	0
0	What is the center of a dartboard called?	bullseye	Easy	3	0
0	Which famous Disney movie features a song called 'Hakuna Matata'?	Lion King	Easy	3	0
0	What is the name of the toy cowboy in Toy Story?	Woody	Easy	3	0
0	Freddie Mercury was the lead vocalist of which rock band?	Queen	Easy	3	0
0	7 rings' is a song by which American singer?	Ariana Grande	Easy	3	0
0	What was the debut album of Daft Punk called?	Indo Silver Club	Hard	3	0
0	WoW is an acronym for which Blizzard game?	World of Warcraft	Easy	3	0
0	Which year was Fallout 3 released?	2008	Hard	3	0
0	KAG is an acronym for which indie game?	King Arthurs Gold	Hard	3	0
1	Who founded Apple computers?	Steve Jobs, Steve Wozniak, and Ronald Wayne	Medium	1	0
1	In machine learning you have two types of learning, what are they?	Supervised and unsupervised	Easy	1	0
1	How many computer languages are in use?	Many	Hard	1	1
1	Which sport does Christiano Ronaldo play?	Football	Easy	3	0
1	Who won the world cup in soccer in 2018?	France	Medium	3	0
1	How much will it cost advertisers to air a 30-second commercial during the 2019 Super Bowl? (In US dollars)	1 million	Hard	2	0
1	What is Cartoon Network?	A TV channel	Easy	2	0
1	What is the snowman in frozen called?	Brian	Hard	3	0
