What does water turn in to below 0 degrees celsius?;Ice
What is the device called for locating objects under the sea?;Sonar
What is the method called when you grow plants without using soil?;Hyproponics
What is the sport called, where two players compete on an orange court, shooting a yellow ball between them?;Tennis
How many players has a hockey team got on the ice?	;6
What was the Olympic city of 1992?;Barcelona
What do hungry people need?;Food
What is the capital of Hawaii?;Honolulu
"The Statue of Liberty was gifted to the United States by which country?
";France
Who rose to fame in 2008 with the release of the single I Kissed a Girl?;Katy Perry
In which European city was Swedish pop group ABBA formed in 1972?;Stockholm
What is the better known stage name of Robyn Fenty?;Rihanna
What is the game called that is sometimes abbreviated by CS?;Counter Strike
In which game is every assassinated person a real historical person with accurate death date and place? ;Assassin's Creed
Which year was Fallout 3 released?;2008
"What is the absolute value of -4? - ""4""? ""16""? ""-4""? ""0""?'";4'
"What is the term for a matrix with pairwise orthonormal vectors""? - ""Orthogonal matrix""? ""Orthonormal matrix""? ""Gram matrix""? ""Perpendicular matrix""?'";Orthogonal matrix'
"In the programming language F#, a computation expression is..? - ""An expression used in list comprehensions""? ""A monad""? ""A parallelizable expression""? ""Computations with the 'unit' type""?'";A monad'
"Micheal Jordan is inducted into the Hall of Fame in which sport? - ""Basketball""? ""Cycling""? ""Cricket""? ""Curling""?'";Basketball'
"Which of the following female athletes won the gold medal for Denmark in swimming at the 2016 Rio de Janerio Olympic Games? - ""Jeanette Ottesen""? ""Pernille Blume""? ""Sarah Bro""? ""Julie Kepp Jensen""? '";Pernille Blume'
"In which of the following four years did Denmark win the most gold medals at the olympic game? - ""1996, Atlanta""? ""2000, Sydney""? ""2004, Athens""? ""2008, Beijing""?'";1996, Atlanta'
"What is the color of the chiney on top of Bamses house (from Bamse og Kylling)? - ""Red and Yellow""? ""Green and White""? ""Black and Blue""? ""Blue and Purple""?' ";Red and Yellow'
"SpongeBob SquarePants has a best friend, what is his name? - ""Mr. Krabs""? ""Patrick Star""? ""Squidward tentacles""? ""David Hasselhoff""?'";Patrick Star'
"Which of these dogs are not one of the original dogs in the first season of Paw Patrol? - ""Rubble""? ""Sky""? ""Marshall""? ""Tracker""?'";Tracker'
"This guy had a hit song called Papirsklip - ""Bent Mejding""? ""Kim Larsen""? ""Johnny Madsen""? ""Jarl Friis Mikkelsen""?'";Kim Larsen'
"Which artist made the song Ring of Fire? - ""Johnny Cash""? ""Willie Nelson""? ""George Jones""? ""Hank Williams""?' ";Johnny Cash'
"Who made the song ""Get low"" featured on the soundtrack of the videogame ""Need for Speed: Underground""? - ""Ludacris""? ""Lil Wayne""? ""Lil John""? ""Nate Dogg""?' ";Lil John'
"What gaming company created the character Mario? - ""Nintendo""? ""Sony""? ""Microsoft""? ""Sega""?'";Nintendo'
"What is the subtitle of the fifth Elder Scrolls Game by Bethesda Studios? - ""Oblivion""? ""Arena""? ""Morrowind""? ""Skyrim""?'";Skyrim'
"The secret organization ""La-li-lu-le-lo"" is mentioned in what game series? - ""Mass Effect""? ""Metal Gear Solid""? ""World of Warcraft""? ""Grand Theft Auto""?'";Metal Gear Solid'
Who is the only danish recipient of a Turing Award?;Peter Naur
What is the first 6 digits of Pi?;3.14159
What is the melting point of Uranium in Kelvin?;1405.3 K
Who was the top scorer at the 2002 World Cup in Football?;Ronaldo
Which club has won the most Danish championships in football?;Kjøbenhavns Boldklub
Besides Celtic and Ranger, which club has most recently won the Scottish championship in football?;Aberdeen
Name the missing Teletubbie besides Laa-Laa, Po and Tinky Winky?;Dipsy
What is the name of Dexter's annoying sister?;Dee-Dee
Who is the owner of Pluto?;Mickey Mouse
Who wrote the 1976 hit 'Rich Girl'?;Hall & Oates
New Order formed after the lead singer in Joy Division hung himself. What was his name?;Ian Curtis
Who produced Iggy Pop's debut album 'The Idiot'?;David Bowie
What color is Mario's hat?;Red
Which year was the first PlayStation released in Japan?;1994
When was Donkey Kong first released?;1981
Which country in the world has maximum number of robots working?;Japan
A device used to measure the strength of magnetic field.;Magnetometer
In which year did IT Act came into force in India?;2000
What was the Olympic city of 1992 ?;Barcelona
How long is an Olympic swimming pool?;Fifty meters
In which country is the Interlagos F1-circuit ?;Brazil
Which character was Walt Disney’s favorite?;Goofy
Who is the quietest Disney princess?;Aurora
Popeye has how many nephews?;4
Miley Cyrus is the daughter of country singer Billy Ray Cyrus?;Yes
What is the better known stage name of Robyn Fenty?;Rihanna
Who composed the classical piece Peter and the Wolf?;Sergei Prokofiev
which year the Minecrafts was released?;2009
The character Master Hands is in which game?;Smash brothers
What does PvE mean in Destiny 2 gaming activities?;Player Versus Environment.
What does a light-year measure?;Distance
Which country in the world has maximum number of robots working?;Japan
The fear of being out of mobile phone contact is known as?;Nomophobia
What is the object that hockey players send across the ice called?;Puck
What is the nickname of the Belgian national soccer team?	;Red devils
How long must a billiard cue be?;90 cm
How many years are there in a millennium?;1000
How many colours are in a rainbow?;7
What is the first element on the periodic table of elements?;Hydrogen
"Who was the lead singer of the band ""Queen""?";Freddie Mercury
How many strings does a violin usually have?;4
What is the name of Nirvana's debut album?;Bleach
What does Mario jump on after completing a level?;Flag Pole
Which field of study is the basis of the Tomb Raider?;Archaeology
Name the creator of PS4?;Mark Cerny
Which British comedy group is the programming language Python named after?;Monty Python
Which Polish scientist discovered the chemical element radium and was famous for her work with radiation?;Marie Curie
Which year was the first version of Windows released?;1985
What is the American name for football? ;Soccer
What is the name of an event involving athletes with a range of disabilities, which is organized every four years in parallel with the Olympic Games?;Paralympics
Which year did a computer first defeat the world champion in the mind sport chess?;1997
What is the name of the forgetful blue fish in Finding Nemo?;Dory
How many Harry Potter books are there?;Seven
What was Hitler's first name?;Adolf
What is the name of Lady Gaga's first hit single?;Poker Face
Which American state is known to be a hub for country music?;Tennessee
Which town was Mozart born in?;Salzburg
What is the name of the famous franchise of life simulation games?;The Sims
Which corporation owns the digital gaming platform Steam?;Valve
What is the name of the motherly goat-like monster in the game Undertale?;Toriel
Which of the following programming languages is a front-end programming language: CSS? Java? Python? C? C++?;CSS
To which field does Natural Language Processing belong?;Computational Linguistics
In which part of the human brain are visual sensory information processed?;occipital lobe
How many minutes is a soccer match?;90
Who is the world record holder in the 100m sprint?;Usain Bolt
How many matches did Mohammed Ali lose in his career?;One
Name the school that Harry Potter attended;Hogwarts
How many houses do exist in Hogwarts?;Four
What is the name of the toy cowboy in Toy Story?;Woody
Who is called the king of pop?;Michael Jackson
What is the first name of compose Vivaldi?;Antonio 
Who made the highly rated 1959 jazz album Kind of Blue?;Miles Davis
What is the world's most famous soccer video game?;FIFA
What is the name of the main character in Tomb Raider?;Lara Croft
In which year was the first Sega console released?;1988
What is the majority of the Cell nucleus?;DNA
What is periodic table 14th element?;Silicium
What is translated from RNA in the Cell?;Proteins
What sport is called soccer for americans and involve kicking a ball?;Football
What sport in India resembles tag?;Kabaddi
What is the longest distance flown in skiflying?;253.5m
What is a baby dog called?;Puppy
what colour is the sky?;Blue
What would come after T in the sequence F, S, S, E, N, T?;E
It can be both electric and acoustic, what is it?;Guitar
What Michael Jackson song had the first Music video on MTV?;Thriller
What is the common hearing range for a human?;20Hz-20kHz
What game is known for stealing cars and beating/killing people?;Grand Theft Auto
What is the largest crowdsources videogame to date?;Star Citizen
In what popular videogame depicting the west against east did a third Eastern affected scifi side appear?;Command & Conquer: Yuri's Revenge
Who was the first programmer?;Ada Lovelace
"What compound is a common component of air pollution, but is
essential in the upper atmosphere to protect life on earth?";Ozone
"What poisonous alkaloid is extracted from tobacco leaves and widely
used as an insecticide?";Nicotine
"
How many players, including the goaltender, make up an ice hockey team?";6
Who won the 2013 Tour de France?;Chris Froome
In polo, what is a period of play called?;Chukka
Which big country is closest to New Zealand?;Australia
How many colours are in a rainbow?;7
What is the name of the bear in The Jungle Book?;Baloo
Which is the most popular song from Ludwig van Beethoven?;For Elise
What is the first name of compose Vivaldi?;Antonio
What city hosted the Beatles as the resident band at the Kaiserkeller and Top Ten Club?;Hamburg
What is the highest selling video game console of all time?;Playstation 2
What was the first console to have an analog stick and 3D graphics?;Nintendo 64
True or False? A British man had his name legally changed to PlayStation.;TRUE
In what SI-unit is thermodynamic temperature measured?;Kelvin
What is the process of changing magnetic fields to generate power called?;Electromagnetic induction
International Business Machines Corporation (IBM)?;108 years
Which title does Nichlas Bendtner have?;Lord
Which players has the most super bowl wins?;Tom Brady
From which country does Handball origin?;Denmark
Which teletubbie is green?;Dipsy
What is the shadow called in The Bear In The Big Blue House;Shadow
What is the name of the main villain in Kim Possible?;Dr. Drakken
In what band was John Lennon vocalist?;The Beatles
"On what album does ""Thunderstruck"" and ""TNT"" by AC/DC appear?";The Razors Edge
"In which year was the album ""Random Access Memories"" by Daft Punk released?";2013
Which company release the Playstation 4?;Sony
Who is the creator of Mario?;Shigeru Miyamoto
How many game systems (consoles & portable consoles) has Nintendo release?;19
Which company creates phones, computers, etc. and has its own operating system?;Apple
To what company ShareLaTeX was sold?;Overleaf
What is the annual technology conference which is held in January?;CES
What is the name of a game where you have to kick a ball with your foot?;Football
Who won 2018 FIFA world cup?;France
Who won 2018 Formula 1 season?;Lewis Hamilton
What color is Lemon?;Yellow
What is the name of a walking dog character in Donald Duck?;Goofy
What is the color of Aubergine?;Purple
What kind of music does Skrillex perform?;Dubstep
Which country won the 2018 eurovision?;Israel
Which composer was deaf?;Ludwig van Beethoven
Which company does Blizzard belong to? ;Activision
Who publishes the Mario games?;Nintendo
MMO RPG greated by Blizzard?;World of Warcraft
Who was the first female computer scientist?;Ada Lovelace
What theorem is this equation: a^2 + b^2 = c^2 from?;Pythagorean theorem
What is the formula for Newton's Second Law?;F = ma
Who is the most famous football player from Malmö?;Zlatan Ibrahimovic
How many holes are there in a round of a golf game?;18
In what countries was the Rugby World Cup first held? ;New Zealand and Australia 
What equals 10+10?;20
What is the name of Dora the explorers monkey friend?;Boots
What is the chemical formula for water?;H2O
What is the famous song called from the movie Titanic? ;My heart will go on
What was the name of the band that Michael Jackson was a part of with his siblings?;The Jackson 5
Who composed the classical music for the Swan Lake?;Pyotr Ilyich Tchaikovsky
What is the famous football video game called?;FIFA
What game is Lara Croft associated with?;Tomb Raider
What do you need to write to get a lot of money for free in Sims?;motherlode
What is a sum of triangle angles?;180
When was a first iPhone released?;2007
Which year was electricity invented?;1879
How many players are on the field when playing football?;22
Who has won most olympic medals?;Michael Phelps
Which year were the first modern Olympic Games held?;1896
How many days are in a week?;7
With who was Nemo's father accompanied during looking for his son?;Dory
What is the oldest animated film released by Disney?;Snow White And The Seven Dwarfs
What is the first name of Amadeus Mozart?;Wolfgang
How many keys has a piano?;88
When was The Beatles formed?;1960
What color is a Super Mario's cap?;red
What is the most popular racing game created by EA?;Need For Speed
What is a first video game invented?;Pong
"Which food contain more vitamin C; A lemon or a pepper?";Pepper
What is the largest human organ?;Skin
How many dwarf planets are in the solar system? 1, 5 or 10?;5
In which country were the first Olympic Games held?;Greece
Which is the only country to have played in each and every World Cup?;Brazil
Which popular fitness method was invented by a German?;Pilates
"What is the name of the cartoon where there are 3 sisters called; Blossom, Bubbles and Buttercup?";Powerpuff Girls
Who is the world’s largest land animal?;Elephant
How many colours are in a rainbow?;7
Where is the group abba from?;Sweden
"Which one direction member left the group in 2015; Liam, Zayn or Harry?";Zayn
"What singer holds the world record for most words in a hit single; Eminem, 50 Cent or Busta Rhymes?";Eminem
What year did Wii come out?;2006
What is the highest selling video game console of all time?;Playstation 2
What is the first female fighting game character called?;Chun-Li
How many weeks are in a year?;52
What is the smallest prime number?;2
What is the heaviest organ in the human body;Skin
How many members are in a football team?;11
Where is the birthplace of golf?;Scotland
Which football player keeps the highest goal scoring record?;Pele
Who wrote the little match girl?;Andersen
What is the name of Cinderella's prince?;Prince Charming
Is yellow one of the standard additive primary colors of light?;No
What is the birth country of Frédéric Chopin?;Poland
What is the Best-Selling Albums in History?;Their Greatest Hits 1971 - 1975
Which song did India Arie sing during the 60th Annual Grammy Awards?;I  Am Light
When was Fortnite released?;2017
What is the publisher of game League of Legends?;Riot Games
When was the first Star Wars video game created?;1982
What number on the pH-scale indicates a neutral value?;7
What is the smallest planet in our solar system?;Mercury
How many teeth do a white shark have? (approx.);About 300
What colour is the ball in tennis?;"Yellow (""optic yellow"" and white)"
What is the name of the computer program that plays Go?;AlphaGo
How many children do Cristiano Ronaldo has?;4
What is the name of Harry Potter's best friend?;Ron Weasley
How many minutes are there in one hour?;60
What is the name of Santa Clause's 8 reindeers?;Dasher, Dancer, Prancer, Vixen, Comet, Cupid, Donner, Blitzen and Rudolph
"What is the name of the band behind ""Barbie Girl""?";A.Q.U.A
"Which famous duo made a song for the movie ""The Graduate""?";Simon and Garfunkel (Mrs. Robinson)
In what year did Louis Armstrong die?;1971
What does L.O.L. stand for?;League of Legends
What colour is Toad's west? (Mario);Blue 
"In which game can a player declare ""OHH CHIBLETS!!""";The Sims
What is the powerhouse of the cell;Mitochondria
What do you call the thing on the end of shoelaces;Aglet
Who won the Turing award in 2005;Peter Naur
Who won the World Men's Handball;Denmark
Where was the last stage in tour de France 1990?;Champs-Élysées 
What is Usain Bolts last run time in an official competition? ;9.95
Who is the latest official Disney princess?;Merida
What is the theme song for Hannah Montana?;The Best of Both Worlds
What is the name of the 7 dwarfs in Disneys' Snow White?;Grumpy, Happy, Sleepy, Bashful, Sneezy, Dopey, Doc
What kind of instrument is a violin?;String instrument
"What is the continuation of the song by Carly Rae Jepsen?; Hey, I just met you and this is crazy
But here's my number, __ ____ __ _____";So call me maybe
Who composed most of the soundtracks for Studio Ghibli?;Joe Hisaishi
What is the name of Mario's brother?;Luigi
How many Pokemons are there by 2018?;809
What is the name of the protagonist that is trying to find his friends Kairi and Riku;Sora
What scientific theory is Charles Darwin best known for?;Evolution
Who was the first person to win two Nobel prizes, one in physics and one in chemistry?;Marie Curie
What are the four fundamental forces in physics?;Gravity, Electromagnetism, Weak nuclear force and Strong nuclear force
What sport did Michael Jordan play?;Basketball
What is the name of Manchester United home stadium?;Old Trafford
What country won the 2012 summer Olympics women's football?;United States of America
What is the name of the purple Teletubby?;Tinky-Winky
What's the name of the evil wizard from the Smurfs?;Gargamel
